,text,target
0,hopeless for tmr :(,0
1,Everything in the kids section of IKEA is so cute. Shame I'm nearly 19 in 2 months :(,0
2,@Hegelbon That heart sliding into the waste basket. :(,0
3,"“@ketchBurning: I hate Japanese call him ""bani"" :( :(”

Me too",0
4,"Dang starting next week I have ""work"" :(",0
5,"oh god, my babies' faces :( https://t.co/9fcwGvaki0",0
6,@RileyMcDonough make me smile :((,0
7,@f0ggstar @stuartthull work neighbour on motors. Asked why and he said hates the updates on search :( http://t.co/XvmTUikWln,0
8,"why?:(""@tahuodyy: sialan:( https://t.co/Hv1i0xcrL2""",0
9,Athabasca glacier was there in #1948 :-( #athabasca #glacier #jasper #jaspernationalpark #alberta #explorealberta #… http://t.co/dZZdqmf7Cz,0
10,I have a really good m&amp;g idea but I'm never going to meet them :(((,0
11,@Rampageinthebox mare ivan :(,0
12,"@SophiaMascardo happy trip, keep safe. see you soon :* :(",0
13,I'm so tired hahahah :(,0
14,@GrumpyCockney With knee replacements they get you up &amp; about the same day. :-(   Ouch.,0
15,"relate to the ""sweet n' sour"" kind of ""bi-polar"" people in your life... cuz my life... is FULL of them... :(",0
16,@aysegul_k pleasse :(,0
17,@SexyKalamo im not sure tho :(,0
18,"I feel stupid
I just can't seem to grasp the basics of digital painting and nothing I've been researching is helping any :(",0
19,Good Lord. :( https://t.co/nC9LkYUUvO,0
20,"I feel lonely someone talk to me guys and girls :(

@TheOnlyRazzYT @imarieuda @EiroZPegasus @AMYSQUEE @UdotV",0
21,"No Assignment, but we have Project. :( really? 😩",0
22,just want to play video games/watch movies with someone :(,0
23,choreographing is hard : (,0
24,@xo_raaaaayyy_xo what the email link? Still says that it's no longer available :( http://t.co/iuiaIOynnx,0
25,cries bc i miss mingming so much :-(,0
26,Sorry :( https://t.co/Q5TAYjrQ8K,0
27,@Giannivnni mom so far away :(,0
28,We're truly sorry @chrisbrown :( have a safe flight.,0
29,and my friends :(,0
30,@bbygjrlmgc oh :( i hate when that happens i get so sad over it too,0
31,Oh. Dog has pee’d in my @Kneewax bag.  :-(   So I can’t take it to #NewWine15,0
32,@YM_Dish98 doushite :( ?,0
33,@Charliescoco @reeceftcharliie @SimonCowell too late :(,0
34,It sucks so much been sick i was plan to start work on my first gundam to night but nope. :(,0
35,MY $$$$2 DOLLAR :( 😭😭😭😭😭😭 http://t.co/oI0pYGUsDi,0
36,"@martylog Listening back to old @DaveGorman shows (I know, I'm weird). Just got to u leaving: might give up. It was pale imitation after :-(",0
37,i went in the sea and now have a massive fucking rash all over my body and it's the most painful thing ever i want to go home :((,0
38,@dethronedlwt hi. Why are you absent? :(,0
39,My Gran tho !!! She knew but didn't care to tell me :((,0
40,@rowysoIjp SAME IT'S SO CUTE I LOVE IT SO MUCH I WISH THERE WOULD BE A SEQUEL :(,0
41,@imallyssagail busy sa school :( next time love yah! xx,0
42,Ouucchhh one of my wisdom teeth are coming through :(,0
43,@StevenLDN frightening case. It really gets to you :(,0
44,"pret :(( wkwkw""@WLK_Jhope: Verfied @WLK_Hyemi91 be active, don't forget to follow all member. Thanks for join. Goodbye""",0
45,You´ve got me in chains for your love :´( — a sentir-se incompleta,0
46,it's okay.. but.. :((,0
47,@njhftbiebs why didn't you go on Wednesday :(,0
48,@radicalj  Marvellous - not. How very thwarting :-(,0
49,@ceeels95 Awh what's the chances 😩 when u off to Zante? We need to do something :-( x,0
50,@s0ulfl0wr When's your birthday ? :(,0
51,@brittleyouth @Tom_J_Allen @AndrewFairbairn @batemanesque @Hegelbon @jameswheeler that was the worst part and I still feel bad about it :(,0
52,audraesar: All these sushi pics on my tl are driving me craaaazzyy :(,0
53,Really want this :( http://t.co/36tSy81iMi,0
54,Popped like a helium balloon..  :-(,0
55,#ClimateChange #CC California's powerful and influential air pollution watchdog.: Califor... http://t.co/OVU4p2qWfH #UniteBlue #Tcot :-(,0
56,@itsNotMirna I was so sad because Elhaida was robbed by the juries :( she came 10th in the televoting,0
57,#ClimateChange #CC Idaho will not restrict fishing despite regional drought-linked die-of... http://t.co/jJboDo6LYZ #UniteBlue #Tcot :-(,0
58,"#ClimateChange #CC Abrupt climate change may have doomed mammoths and other megafauna, sc... http://t.co/taVMCz37E7 #UniteBlue #Tcot :-(",0
59,#ClimateChange #CC Australia's 'dirtiest' power station considers 'clean energy' biomass ... http://t.co/YeQABq6tsL #UniteBlue #Tcot :-(,0
60,#ClimateChange #CC It ain't easy being green if you're a golf course in California.: Ulti... http://t.co/La82RXzTs2 #UniteBlue #Tcot :-(,0
61,@Mess0019 Well I am sure your work day is over before mine :(,0
62,@keikopotato IM GONNA MISS U SEXY PREXY :(((((((((,0
63,i miss my kindergarten kids :(,0
64,HUNGRY :-(,0
65,cant find the only book that keeps me sane :((,0
66,Literally there are three lounge events why :-( So much turn up I'm sad,0
67,@carliot23 Miss you Boss :(,0
68,I love hozier :-(,0
69,"@IzzyTailford that's true, I just want it soooooooner :(",0
70,Ahh Fam @MeekMill :( #RespectLost http://t.co/NT25MYnGYd,0
71,@shokako1104 I'm sorry :( ! What is hypercholesteloremia ? Are you ok ?,0
72,Baby still looks tired :(,0
73,Can someone gift me calibraska :(,0
74,@Rico_Shabbir the massive shame about it is we would actually be genuine contenders but it won't happen :(,0
75,My head always hurts if I stay up late lmao :(,0
76,@ErnestLozoya how are u older than me :(,0
77,Backed out :(,0
78,u sound upset :( https://t.co/JZBFBKld8Q,0
79,So much misses :-( https://t.co/pn2HvGdnFT,0
80,I MISS INFINITE :-(,0
81,@DiscoQing AoS doesn't do it for me but I don't want to stick with 8th either. :(,0
82,@madrigalandreaa its too much  serious yun eh :(,0
83,My room is way too hot :-(,0
84,I still havent found my Handsome Jack drawing :((((,0
85,@twcxmina shit :(,0
86,But cut encore :(((( #bad4thwin,0
87,I wish I had my own Baymax :(,0
88,Sick :(,0
89,@LittleMix French mixers miss you so much :( 💜,0
90,Wft.. can't watch the awesome replay!! :-( https://t.co/ChzrqtelPh,0
91,@Viiiiiiiiev what happened?? :(((,0
92,Party promotions are over :(,0
93,Music bank encore always so short :(,0
94,BABY BOY :((((,0
95,@flipkartsupport my order has been received at the hub nearest but doesn't look like it will be delivered today :( (1/2),0
96,Why is my mum playing music out loud :(,0
97,The finale of Parasyte fucked my feelings alllllll the way up :(,0
98,i wish :( #ZaynIsComingBackOnJuly26,0
99,Good bye Party era :(,0
100,@amedefu Me  too。。。_:(´ω`」 ∠):_,0
101,@Concept_Nathan nathann💕 I never got a chance to take a pic with you :( got a hug tho! Pic next time I see you?😊,0
102,"some girl came up to me and was like ""you are so beautiful :-("" I want to dieididieieiei she's so cute",0
103,Party goodbye stage :( but this means Hello to Lion Heart and You Think,0
104,@MsDanneh @Obey_Ervin15 Tell her to screw herself. I'm gonna have a netflix and chill on my own. Y u do dis ervin :(,0
105,@subharrie ohh no :(( and yeah i hope she comes back soon too,0
106,@MadniTahir I am. I've accepted the offer..but im desperate to take the year out.   :(,0
107,Come back :(,0
108,Snapchat me - AmargoLonnard #snapchat #snapchat #kikhorny #snapme #tagsforlikes #batalladelosgallos #webcamsex :( http://t.co/3S9LHaFrsU,0
109,UGH I CANT STREAM TMR I HAVE DUTY :(,0
110,@madrigalandreaa u've gone too far :(,0
111,@uhhAileeny What about her alien thing :(((,0
112,@Ni_All_Is_Bae aww I don't really wanna get my hopes up but I wish that he would :((,0
