,text,target
0,hopeless for tmr :(,0
1,everything in the kids section of ikea is so cute . shame i ' m nearly 19 in 2 months :(,0
2,that heart sliding into the waste basket . :(,0
3,"“: i hate japanese call him "" bani "" :( :(” me too",0
4,"dang starting next week i have "" work "" :(",0
5,"oh god , my babies ' faces :(",0
6,make me smile :((,0
7,work neighbour on motors . asked why and he said hates the updates on search :(,0
8,"why ?:("": sialan :(",0
9,athabasca glacier was there in # 1948 :-( # athabasca # glacier # jasper # jaspernationalpark # alberta # explorealberta #…,0
10,i have a really good m & g idea but i ' m never going to meet them :(((,0
11,mare ivan :(,0
12,"happy trip , keep safe . see you soon :* :(",0
13,i ' m so tired hahahah :(,0
14,with knee replacements they get you up & about the same day . :-( ouch .,0
15,"relate to the "" sweet n ' sour "" kind of "" bi - polar "" people in your life ... cuz my life ... is full of them ... :(",0
16,pleasse :(,0
17,im not sure tho :(,0
18,i feel stupid i just can not seem to grasp the basics of digital painting and nothing i ' ve been researching is helping any :(,0
19,good lord . :(,0
20,i feel lonely someone talk to me guys and girls :(,0
21,"no assignment , but we have project . :( really ? 😩",0
22,just want to play video games / watch movies with someone :(,0
23,choreographing is hard : (,0
24,what the email link ? still says that it ' s no longer available :(,0
25,cries bc i miss mingming so much :-(,0
26,sorry :(,0
27,mom so far away :(,0
28,we ' re truly sorry :( have a safe flight .,0
29,and my friends :(,0
30,oh :( i hate when that happens i get so sad over it too,0
31,oh . dog has pee ’ d in my bag . :-( so i can ’ t take it to # newwine15,0
32,doushite :( ?,0
33,too late :(,0
34,it sucks so much been sick i was plan to start work on my first gundam to night but nope . :(,0
35,my $$$$ 2 dollar :( 😭😭😭😭😭😭,0
36,"listening back to old shows ( i know , i ' m weird ). just got to u leaving : might give up . it was pale imitation after :-(",0
37,i went in the sea and now have a massive fucking rash all over my body and it ' s the most painful thing ever i want to go home :((,0
38,hi . why are you absent ? :(,0
39,my gran tho !!! she knew but did not care to tell me :((,0
40,same it ' s so cute i love it so much i wish there would be a sequel :(,0
41,busy sa school :( next time love yah ! xx,0
42,ouucchhh one of my wisdom teeth are coming through :(,0
43,frightening case . it really gets to you :(,0
44,"pret :(( wkwkw "": verfied be active , do not forget to follow all member . thanks for join . goodbye """,0
45,you ´ ve got me in chains for your love :´( — a sentir - se incompleta,0
46,it ' s okay .. but .. :((,0
47,why did not you go on wednesday :(,0
48,marvellous - not . how very thwarting :-(,0
49,awh what ' s the chances 😩 when u off to zante ? we need to do something :-( x,0
50,when ' s your birthday ? :(,0
51,that was the worst part and i still feel bad about it :(,0
52,audraesar : all these sushi pics on my tl are driving me craaaazzyy :(,0
53,really want this :(,0
54,popped like a helium balloon .. :-(,0
55,# climatechange # cc california ' s powerful and influential air pollution watchdog .: califor ... # uniteblue # tcot :-(,0
56,i was so sad because elhaida was robbed by the juries :( she came 10th in the televoting,0
57,# climatechange # cc idaho will not restrict fishing despite regional drought - linked die - of ... # uniteblue # tcot :-(,0
58,"# climatechange # cc abrupt climate change may have doomed mammoths and other megafauna , sc ... # uniteblue # tcot :-(",0
59,# climatechange # cc australia ' s ' dirtiest ' power station considers ' clean energy ' biomass ... # uniteblue # tcot :-(,0
60,# climatechange # cc it ain ' t easy being green if you ' re a golf course in california .: ulti ... # uniteblue # tcot :-(,0
61,well i am sure your work day is over before mine :(,0
62,im gonna miss u sexy prexy :(((((((((,0
63,i miss my kindergarten kids :(,0
64,hungry :-(,0
65,cant find the only book that keeps me sane :((,0
66,literally there are three lounge events why :-( so much turn up i ' m sad,0
67,miss you boss :(,0
68,i love hozier :-(,0
69,"that ' s true , i just want it soooooooner :(",0
70,ahh fam :( # respectlost,0
71,i ' m sorry :( ! what is hypercholesteloremia ? are you ok ?,0
72,baby still looks tired :(,0
73,can someone gift me calibraska :(,0
74,the massive shame about it is we would actually be genuine contenders but it will not happen :(,0
75,my head always hurts if i stay up late lmao :(,0
76,how are u older than me :(,0
77,backed out :(,0
78,u sound upset :(,0
79,so much misses :-(,0
80,i miss infinite :-(,0
81,aos does not do it for me but i do not want to stick with 8th either . :(,0
82,its too much serious yun eh :(,0
83,my room is way too hot :-(,0
84,i still havent found my handsome jack drawing :((((,0
85,shit :(,0
86,but cut encore :(((( # bad4thwin,0
87,i wish i had my own baymax :(,0
88,sick :(,0
89,french mixers miss you so much :( 💜,0
90,wft .. can not watch the awesome replay !! :-(,0
91,what happened ?? :(((,0
92,party promotions are over :(,0
93,music bank encore always so short :(,0
94,baby boy :((((,0
95,my order has been received at the hub nearest but does not look like it will be delivered today :( ( 1 / 2 ),0
96,why is my mum playing music out loud :(,0
97,the finale of parasyte fucked my feelings alllllll the way up :(,0
98,i wish :( # zayniscomingbackonjuly26,0
99,good bye party era :(,0
100,me too 。。。 _ :(´ ω `」 ∠): _,0
101,nathann 💕 i never got a chance to take a pic with you :( got a hug tho ! pic next time i see you ?😊,0
102,"some girl came up to me and was like "" you are so beautiful :-("" i want to dieididieieiei she ' s so cute",0
103,party goodbye stage :( but this means hello to lion heart and you think,0
104,tell her to screw herself . i ' m gonna have a netflix and chill on my own . y u do dis ervin :(,0
105,ohh no :(( and yeah i hope she comes back soon too,0
106,i am . i ' ve accepted the offer .. but im desperate to take the year out . :(,0
107,come back :(,0
108,snapchat me - amargolonnard # snapchat # snapchat # kikhorny # snapme # tagsforlikes # batalladelosgallos # webcamsex :(,0
109,ugh i cant stream tmr i have duty :(,0
110,u ' ve gone too far :(,0
111,what about her alien thing :(((,0
112,aww i do not really wanna get my hopes up but i wish that he would :((,0
113,sorka no :((,0
114,i knew u would be sad :( were having a funeral i was gonna text u but i have no phone,0
115,sunny :( i feel so bad ....,0
116,so nonexistent wowza :(,0
117,back off fah she ' s mine :-(,0
118,taylor why did you crop yourself out :(((((((((((((((,0
119,boo on both counts :-(,0
120,new guitar :(,0
121,so when will i get my jonghyun hyung ? :( please predict it :(,0
122,i hope sj will be nominated soon but no sj vs infinite pls :(((((,0
123,"yeah dudes , keep calm and brace yourselves :-(",0
124,sir plus 4 please :((,0
125,they looked so shock omgggg :((( yall deserve it :((((,0
126,whenever i would spend the night we would smoke and watch a movie but he would always end up falling asleep on me :(,0
127,we were 1 point close to grand finals ! :( whyyy,0
128,:( that ' s a long time,0
129,"oh , that must be so annoying evan :( do the texts give the option to opt out ?",0
130,who ' s doing giveaways for muster goods ? :( or any merchs,0
131,ah too bad :(,0
132,people are looking at me funny because i ' m drinking savanna with a straw :(,0
133,good bye stage :((((,0
134,and why did you ignore me yester afternoon :(,0
135,i can not sleep :( someone talk to me,0
136,yeah :(,0
137,yes sadly :(.,0
138,very :(,0
139,whens the album coming ? :(,0
140,the last of my chocolate has been consumed . :(,0
141,ugh i have werk in the morning too :-(,0
142,foreals :( a wesen uwesiti mj 😂😩,0
143,i will if i catch him online long enough - haha ! he ' s being very annoying !! :(,0
144,bosen :(,0
145,dying for some egg benny :(,0
146,sometimes i hate you :((,0
147,baby followback huhu :(,0
148,but no ones as cute as u so :(,0
149,you ' re gonna watch this shit and understand how badly you scared me ! >:(,0
150,"i miss al , katie , zaz and amy a lot :((",0
151,i liked a video more subs plz :(,0
152,can u make a diary while you ' re all there please :((,0
153,sorry :(,0
154,:-( i do not read most of these rehash websites that have mushroomed . a good piece may be by exception & reaches one anyway .,0
155,and yes its been a while vicky omg :-(((((,0
